ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,27200,10,pgxc,10.87.3.185,33353,2015-08-21 14:13:06.642588-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:19.308662-04,f,Remote Subplan,active,2015-08-21 14:43:24.215874-04
946684800,27871,10,pgxc,10.87.8.227,55027,2015-08-21 14:32:11.501143-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.733306-04,f,Remote Subplan,active,2015-08-21 14:43:24.048856-04
946684800,27873,10,pgxc,10.87.3.232,38088,2015-08-21 14:32:11.526889-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.799176-04,f,Remote Subplan,active,2015-08-21 14:43:24.14217-04
946684800,27874,10,pgxc,10.92.9.245,55035,2015-08-21 14:32:11.531838-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.403009-04,f,Remote Subplan,active,2015-08-21 14:43:23.743727-04
946684800,27878,10,pgxc,10.92.9.245,55071,2015-08-21 14:32:11.663644-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.245538-04,f,Remote Subplan,active,2015-08-21 14:43:23.700674-04
946684800,27879,10,pgxc,10.87.3.232,38126,2015-08-21 14:32:11.666933-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.34629-04,f,Remote Subplan,active,2015-08-21 14:43:23.791581-04
946684800,27207,10,pgxc,10.87.3.185,33354,2015-08-21 14:13:06.647638-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:18.644502-04,f,Remote Subplan,idle in transaction,2015-08-21 14:43:24.138797-04
946684800,27844,10,pgxc,10.87.3.232,38038,2015-08-21 14:32:11.209641-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:22.085763-04,f,Remote Subplan,active,2015-08-21 14:43:24.072513-04
946684800,27881,10,pgxc,10.87.8.227,55068,2015-08-21 14:32:11.696877-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.438741-04,f,Remote Subplan,active,2015-08-21 14:43:23.906543-04
946684800,27845,10,pgxc,10.87.8.227,54972,2015-08-21 14:32:11.215017-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.979783-04,f,Remote Subplan,active,2015-08-21 14:43:23.977617-04
946684800,27281,10,pgxc,10.92.9.245,54149,2015-08-21 14:15:31.199461-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.809256-04,f,Remote Subplan,active,2015-08-21 14:43:23.853948-04
946684800,27284,10,pgxc,10.87.3.232,37214,2015-08-21 14:15:31.211015-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.583631-04,f,Remote Subplan,active,2015-08-21 14:43:23.869102-04
946684800,27287,10,pgxc,10.87.8.227,54139,2015-08-21 14:15:31.220944-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.511305-04,f,Remote Subplan,active,2015-08-21 14:43:23.854156-04
946684800,27291,10,pgxc,10.223.4.4,54209,2015-08-21 14:15:31.226878-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:18.973126-04,f,Remote Subplan,active,2015-08-21 14:43:23.916004-04
946684800,27292,10,pgxc,10.87.3.232,37217,2015-08-21 14:15:31.228232-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.327996-04,f,Remote Subplan,active,2015-08-21 14:43:23.666248-04
946684800,27299,10,pgxc,10.87.8.227,54141,2015-08-21 14:15:31.237947-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.538774-04,f,Remote Subplan,active,2015-08-21 14:43:23.667766-04
946684800,27304,10,pgxc,10.92.9.245,54155,2015-08-21 14:15:31.243699-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:22.180152-04,f,Remote Subplan,active,2015-08-21 14:43:24.242419-04
946684800,27294,10,pgxc,10.95.141.120,34453,2015-08-21 14:15:31.244615-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:19.327312-04,f,Remote Subplan,active,2015-08-21 14:43:24.233573-04
946684800,27302,10,pgxc,10.94.132.84,60265,2015-08-21 14:15:31.246828-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:19.281704-04,f,Remote Subplan,active,2015-08-21 14:43:24.192854-04
946684800,27307,10,pgxc,10.87.3.206,34234,2015-08-21 14:15:31.24955-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:18.741466-04,f,Remote Subplan,idle in transaction,2015-08-21 14:43:24.13906-04
946684800,27861,10,pgxc,10.87.3.185,34105,2015-08-21 14:32:11.298384-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:19.292688-04,f,Remote Subplan,active,2015-08-21 14:43:24.237674-04
946684800,27858,10,pgxc,10.87.8.227,54986,2015-08-21 14:32:11.275054-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.728255-04,f,Remote Subplan,active,2015-08-21 14:43:23.845965-04
946684800,27308,10,pgxc,10.87.3.206,34235,2015-08-21 14:15:31.258068-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:19.336828-04,f,Remote Subplan,active,2015-08-21 14:43:24.242523-04
946684800,27309,10,pgxc,10.223.4.4,54214,2015-08-21 14:15:31.267929-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:19.31429-04,f,Remote Subplan,active,2015-08-21 14:43:24.218523-04
946684800,27310,10,pgxc,10.95.141.120,34472,2015-08-21 14:15:31.2694-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:18.636264-04,f,Remote Subplan,idle in transaction,2015-08-21 14:43:24.13505-04
946684800,27311,10,pgxc,10.94.132.84,60277,2015-08-21 14:15:31.269377-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:19.157713-04,f,Remote Subplan,idle in transaction,2015-08-21 14:43:24.240936-04
946684800,27723,10,pgxc,10.93.131.148,41455,2015-08-21 14:32:09.181964-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:32:09.537742-04,f,Remote Subplan,active,2015-08-21 14:32:09.558587-04
946684800,27726,10,pgxc,10.223.4.4,54658,2015-08-21 14:32:09.41661-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:23.288101-04,f,Remote Subplan,active,2015-08-21 14:43:23.49099-04
946684800,27729,10,pgxc,10.223.4.4,54666,2015-08-21 14:32:09.427867-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:23.865182-04,f,Remote Subplan,active,2015-08-21 14:43:24.074916-04
946684800,27730,10,pgxc,10.87.3.232,37675,2015-08-21 14:32:09.428203-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:23.053185-04,f,Remote Subplan,active,2015-08-21 14:43:23.265524-04
